customer_id,full_name,dob,national_id,address,phone,email,pep_flag,sanctions_flag,income_monthly
CUST_1079,Customer 79,1993-11-21,ID00079,Hyderabad,+91-9800000079,cust79@mail.com,0,0,119884
CUST_1080,Customer 80,1997-05-28,ID00080,Mumbai,+91-9800000080,cust80@mail.com,0,1,162489
CUST_1081,Customer 81,1996-05-02,ID00081,Mumbai,+91-9800000081,cust81@mail.com,0,0,54195
CUST_1082,Customer 82,1992-11-09,ID00082,Delhi,+91-9800000082,cust82@mail.com,0,0,117439
CUST_1083,Customer 83,1998-12-14,ID00083,Kolkata,+91-9800000083,cust83@mail.com,0,0,145824
CUST_1084,Customer 84,1991-02-23,ID00084,Delhi,+91-9800000084,cust84@mail.com,0,0,32534
CUST_1085,Customer 85,1990-06-19,ID00085,Kolkata,+91-9800000085,cust85@mail.com,0,0,173023
CUST_1086,Customer 86,1996-03-02,ID00086,Hyderabad,+91-9800000086,cust86@mail.com,0,0,68821
CUST_1087,Customer 87,1990-06-07,ID00087,Bangalore,+91-9800000087,cust87@mail.com,0,0,125591
CUST_1088,Customer 88,1995-09-28,ID00088,Surat,+91-9800000088,cust88@mail.com,0,0,56946
CUST_1089,Customer 89,1993-03-26,ID00089,Delhi,+91-9800000089,cust89@mail.com,0,0,70515
CUST_1090,Customer 90,1990-03-24,ID00090,Ahmedabad,+91-9800000090,cust90@mail.com,0,0,138080
CUST_1091,Customer 91,1993-05-06,ID00091,Pune,+91-9800000091,cust91@mail.com,0,0,137928
CUST_1092,Customer 92,1990-08-08,ID00092,Bangalore,+91-9800000092,cust92@mail.com,0,0,130281
CUST_1093,Customer 93,1995-05-27,ID00093,Bangalore,+91-9800000093,cust93@mail.com,0,0,150665
CUST_1094,Customer 94,1990-11-07,ID00094,Surat,+91-9800000094,cust94@mail.com,0,0,88438
CUST_1095,Customer 95,1994-02-25,ID00095,Hyderabad,+91-9800000095,cust95@mail.com,0,0,116051
CUST_1096,Customer 96,1998-07-22,ID00096,Kolkata,+91-9800000096,cust96@mail.com,0,0,122050
CUST_1097,Customer 97,1990-02-09,ID00097,Delhi,+91-9800000097,cust97@mail.com,0,0,116808
CUST_1098,Customer 98,1990-02-20,ID00098,Surat,+91-9800000098,cust98@mail.com,0,0,99590
CUST_1099,Customer 99,1995-07-20,ID00099,Kolkata,+91-9800000099,cust99@mail.com,0,0,120619
CUST_1100,Customer 100,1996-10-07,ID00100,Hyderabad,+91-9800000100,cust100@mail.com,1,0,60315
