customer_id,name,dob,pan,income
100046,VIRAJ SARKAR,17/04/1997,YFVDO1751G,1710000
100047,VRISHTI GARA,23/12/1970,XKKXS5274G,1150000
100048,ISHAAN CHEEMA,28/06/1965,MTQQR9166A,880000
100049,ABEER KALITA,31/08/1970,AJZCE9462U,1620000
100050,UCCHAL GOYAL,03/07/1995,VRVRL3246T,19200002
100051,RADHIKA DIVAN,08/02/1974,BURQE5569I,1380000
100052,HEMAL BHAGAT,13/01/1985,XAEAQ6068E,910000
100053,BHAVNA PARSA,23/08/1997,SGSDQ6142S,1250000
100054,DAYAMAI VYAS,19/12/2003,GYBIU2941K,690000
100055,EKIYA GROVER,04/09/1990,HPKYC1442I,1640000
100056,ONVEER CHANDER,26/02/1993,KPJOL4037I,1720000
100057,FORUM OM,01/04/1981,GLIKO9982S,830000
100058,ZEHAAN SRIDHAR,06/10/1965,BMCJH9863L,1180000
100059,YASHODA BALAY,30/09/1977,ZDSBP4442Y,1460000
100060,RUDRA KALA,19/05/1997,KWCMT6047B,2010000
100061,JONATHAN BUCH,17/06/1968,WVGKV9424O,980000
100062,YASTI DASGUPTA,03/10/1986,PRNXH9017J,1530000
100063,FARHAN BOBAL,10/09/1988,AEKSG7254S,1810000
100064,UDARSH LANKA,27/07/1991,HUOCC8487S,950000
100065,GAURI SUNDARAM,12/11/1984,GRBFW6113G,1290000
100066,JAGVI KURIAN,11/09/2007,QQTHG5967W,610000
100067,RIDHI BARIA,10/08/1980,HPBOZ8794I,1100000
100068,JAIRAJ SHROFF,06/01/1981,ECBOM2655S,1570000
100069,DHRITI THAMAN,05/05/1999,XDQNN7454L,870000
100070,FRADO SOOD,07/03/1982,KVDDC9593L,1220000
100071,UNNATI DEY,14/07/1994,VVHDX3117Q,1740000
100072,IKBAL BHATTACHARYYA,14/02/1989,BEUOX5145L,1960000
100073,TARA VERMA,01/03/1999,MSEKC6934M,930000
100074,ZARNA HEGDE,13/01/2003,ZVLCH4484J,710000
100075,VYANJANA BEN,07/10/1999,WTZGO4127Z,880000
100076,TIMOTHY SAINI,15/02/1967,TDAFY1742X,1190000
100077,NIDHI DHAR,27/08/1970,FQSBM3287U,990000
100078,KABIR MAHARAJ,29/07/2003,QIRSY7005N,620000
100079,VRITTI SURA,16/12/1986,CIDFG8474W,1450000
100080,WARJAS RAMASWAMY,20/02/1963,QVXTS2655V,1030000
100081,SAMARTH BARAL,19/04/1964,UNLSO3604E,1120000
100082,ATHARV RANDHAWA,01/11/2007,RZCLK7316G,540000
100083,ETHAN BALASUBRAMANIAN,26/03/1961,YZBHD1741E,1260000
100084,JEREMIAH DEEP,21/10/2005,BBUWZ8456N,650000
100085,ISHANVI BAL,25/09/1965,FZATB2423X,1170000
100086,ANTHONY SARIN,13/01/1994,MDUHX7445K,1680000
100087,ROBERT JHAVERI,11/06/1989,EWKQE3488U,1840000
100088,ANDREW D’ALIA,14/07/1994,HZDLC2922F,1710000
100089,URVASHI CHOUDHURY,14/01/1998,LUVRH9611C,920000
100090,CHANDRAN ARORA,13/04/1995,DDFAY8992A,1510000
100091,HEMANGINI THAKUR,17/09/2004,QRNMQ2709L,670000
100092,ETHAN KEER,19/08/1966,MELXW6151Q,1130000
100093,CHAMAN MOHANTY,22/08/1978,ODECU3313E,1360000
100094,NIHARIKA BARAD,07/05/1975,BNLZR8603Q,1270000
100095,MAANAS DESAI,14/11/1967,TBXWH5775N,1050000
100096,GOPAL KATA,05/01/1966,MFGNA3429J,970000
100097,CHARITA SRINIVAS,25/04/1982,XZJBQ7635Y,1630000
100098,GIRIK DYAL,16/07/2004,FTWIK5537U,730000
100099,AAYUSH SUBRAMANIAN,01/10/1978,OOLXB1125H,1920000
100100,CHAMAN BEDI,05/04/2002,HJLCQ3380V,810000
